"Ran Luo" pushed new code on "Sat, 15 Jan 2022 00:29:16 +0800" with title: "fix: codeblock cursor error #2013 (#2885)" and stats:	 1 file changed, 29 insertions(+), 2 deletions(-)	
"Ran Luo" pushed new code on "Sat, 15 Jan 2022 00:17:10 +0800" with title: "fix: fix export mermaid pie chart error (#2846)" and stats:	 3 files changed, 21 insertions(+), 20 deletions(-)	
"Felix Häusler" pushed new code on "Thu, 13 Jan 2022 22:20:18 +0100" with title: "Add filename variable to relative image action (#2879)" and stats:	 6 files changed, 97 insertions(+), 61 deletions(-)	
"Felix Häusler" pushed new code on "Thu, 13 Jan 2022 22:19:42 +0100" with title: "fix: 2269 Append soft-lines on text removal (#2853)" and stats:	 1 file changed, 17 insertions(+), 3 deletions(-)	
"toSayNothing" pushed new code on "Fri, 14 Jan 2022 00:14:46 +0800" with title: "fix: #2836 fix formula first render (#2860)" and stats:	 2 files changed, 20 insertions(+), 2 deletions(-)	
"Ran Luo" pushed new code on "Thu, 13 Jan 2022 12:59:57 +0800" with title: "fix: #2854 codeblock highlight error (#2877)" and stats:	 4 files changed, 25 insertions(+), 22 deletions(-)	
"bolshoytoster" pushed new code on "Wed, 12 Jan 2022 20:14:50 +0000" with title: "Added support for image path variables (#2809) (#2826)" and stats:	 4 files changed, 28 insertions(+), 31 deletions(-)	
"Felix Häusler" pushed new code on "Wed, 12 Jan 2022 14:16:51 +0100" with title: "Fix async IO function in renderer (#2863)" and stats:	 3 files changed, 32 insertions(+), 38 deletions(-)	
"Jefferey Neuffer" pushed new code on "Wed, 12 Jan 2022 04:32:43 +1000" with title: "Add zoom persistence (#2858)" and stats:	 8 files changed, 73 insertions(+), 1 deletion(-)	
"toSayNothing" pushed new code on "Sun, 9 Jan 2022 01:08:21 +0800" with title: "fix: fix new line page scroll (fix #2541, fix #2470) (#2861)" and stats:	 1 file changed, 2 insertions(+), 2 deletions(-)	
"Felix Häusler" pushed new code on "Sat, 8 Jan 2022 17:28:23 +0100" with title: "Fix editor overflow (#2850)" and stats:	 5 files changed, 21 insertions(+), 18 deletions(-)	
"Felix Häusler" pushed new code on "Sat, 8 Jan 2022 17:28:01 +0100" with title: "Use system dependent key bindings (#2849)" and stats:	 21 files changed, 916 insertions(+), 262 deletions(-)	
